gene_name
CSF2
TMEM158
RIPK2
RIPK3
RIPK1
RIPK4
CASP1
CASP2
CASP3
CASP4
CASP6
CASP7
CASP8
CASP8AP2
CASP9
TMEM119
P2RY12
CX3CR1
ITGAM
CD68
IBA1
CD86
CD34
NOS2
KLF5
KLF6
IRF5
MAFB
JUNB
CEBPB
CEBPD
CEBPE
CEBPZ
CEBPG
CEBPZOS
SPI1-CEBPA
SPI1-CEBPA
CEBPA
ZNF385A
SPI1
CSF1R
