gene_name
STX3
CDCA7L
NTRK2
SOX4
SOX9
ATF3
LAMC2
CR1
HAS2
KDR
ODC1
FGFR2
BMP5
MAB21L2
TBX2
IL6ST
CNTFR
HPSE2
S1PR3
PDGFRA
COL18A1
IL11RA
HGF
WNT2
TGFBR1
PTGFR
CD248
PDGFD
