gene_name
CDH1
CDH2
CDH5
CDH6
CDH7
CDH11
PCDH7
PCDH12
PCDHA12
COL3A1
COL6A1
COL6A2
COL6A3
COL8A2
COL21A1
COL15A1
CADM3
LAMC3
LAMA2
